0	Рабочее место
1	Рабочее место оператора ПК
1	Рабочее место инженера
1	Рабочее место исследователя
1	Рабочее место начальника
0	Ноутбук
1	10.1" Ноутбук Acer Aspire One AO522-C68kk/Black (HD 1280x720) AMD C60(1.0)/2048/320/AMD HD6290/WiFi/BT/Cam/MS Win7 Starter
1	10.1" Ноутбук Acer Aspire One AOD270-268bb(WSVGA) Intel Atom N2600(1.6)/2048/500/WiFi/BT/Cam/MS Win7 Starter
1	10.1" Ноутбук Acer Aspire One AOD270-268BLw (WSVGA) Intel Atom N2600(1.6)/1024/500/WiFi/Cam/MS Win7 Starter
1	10.1" Ноутбук Acer Aspire One AOD270-268kk(WSVGA) Intel Atom N2600(1.6)/2048/500/WiFi/BT/Cam/MS Win7 Starter
1	10.1" Ноутбук Acer Aspire One AOD270-268ws(WSVGA) Intel Atom N2600(1.6)/2048/500/WiFi/BT/Cam/MS Win7 Starter
1	10.1" Ноутбук Acer Aspire One AOD270-268ws/White (WSVGA) Intel Atom N2600(1.6)/2048/320/WiFi/Cam/MS Win7 Starter
1	11.6" Ноутбук Acer Aspire One AO725-C61bb(HD) AMD C60(1.0)/2048/500/AMD HD6290/WiFi/BT/Cam/MS Win7
1	11.6" Ноутбук Acer Aspire One AO725-C61kk(HD) AMD C60(1.0)/2048/500/AMD HD6290/WiFi/BT/Cam/MS Win7
1	11.6" Ноутбук Acer Aspire One AO756-877B1bb(HD) Intel Celeron B877(1.4)/2048/500/WiFi/BT/Cam/MS Win7
1	11.6" Ноутбук Acer Aspire One AO756-877B1kk(HD) Intel Celeron B877(1.4)/2048/500/WiFi/BT/Cam/MS Win7
1	11.6" Ноутбук Acer Aspire One AO756-877B1rr (HD) Intel Celeron B877(1.4)/2048/500/WiFi/BT/Cam/MS Win7
1	11.6" Ноутбук Acer Aspire One AO756-877B1ss (HD) Intel Celeron B877(1.4)/2048/500/WiFi/BT/Cam/MS Win7
1	11.6" Ноутбук Acer V5-171-32364G50ass (HD) i3 2367M(1.4)/4096/500/Intel HD3000/WiFi/BT/Cam/MS Win7
1	11.6" Ноутбук Acer V5-171-53314G50ass (HD) i5 3317U(1.7)/4096/500/Intel HD4000/WiFi/BT/Cam/MS Win7
